n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.05,GPU,0,71070,2025-08-21 18:01:37.392118,gpu,0.006,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,1,71070,2025-08-21 18:01:58.818963,gpu,0.014,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,2,71070,2025-08-21 18:02:12.055815,gpu,0.008,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,3,71070,2025-08-21 18:01:39.412189,gpu,0.021,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,GPU,4,71070,2025-08-21 18:02:34.788768,gpu,0.006,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,0,71070,2025-08-21 18:02:13.105638,matmul,0.009,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,1,71070,2025-08-21 18:02:17.155666,matmul,0.009,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,2,71070,2025-08-21 18:01:53.314981,matmul,0.009,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,3,71070,2025-08-21 18:01:59.939493,matmul,0.01,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.05,CPU,4,71070,2025-08-21 18:02:53.136864,matmul,0.01,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Apple M3 Max
500,0.1,GPU,0,71070,2025-08-21 18:01:42.661578,gpu,0.011,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,1,71070,2025-08-21 18:03:31.858238,gpu,0.006,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,2,71070,2025-08-21 18:03:59.602121,gpu,0.007,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,3,71070,2025-08-21 18:03:54.832376,gpu,0.014,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,GPU,4,71070,2025-08-21 18:02:34.771606,gpu,0.006,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
500,0.1,CPU,0,71070,2025-08-21 18:03:12.737801,matmul,0.01,[11032953  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Apple M3 Max
