n,p,device,repetition,random_state,timestamp,computation_time,motifs
500,0.05,/GPU:0,0,71070,2022-05-08 11:42:10.267669,0.016,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,1,71070,2022-05-08 11:32:59.875896,0.014,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,2,71070,2022-05-08 11:59:30.123556,0.021,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,3,71070,2022-05-08 12:25:01.405071,0.023,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,4,71070,2022-05-08 11:34:39.841276,0.022,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,0,71070,2022-05-08 11:59:30.148829,0.264,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,1,71070,2022-05-08 12:16:55.768449,0.266,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,2,71070,2022-05-08 11:40:53.605532,0.291,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,3,71070,2022-05-08 11:13:47.231656,0.289,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,4,71070,2022-05-08 12:21:28.090599,0.277,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.1,/GPU:0,0,71070,2022-05-08 11:53:05.396676,0.019,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,1,71070,2022-05-08 12:11:46.016380,0.017,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,2,71070,2022-05-08 11:29:52.624905,0.015,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,3,71070,2022-05-08 11:19:22.257471,0.016,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,4,71070,2022-05-08 12:13:52.666046,0.019,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,0,71070,2022-05-08 11:14:51.902280,0.301,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,1,71070,2022-05-08 11:18:21.799065,0.279,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,2,71070,2022-05-08 11:24:38.047991,0.291,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,3,71070,2022-05-08 11:18:23.199453,0.283,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,4,71070,2022-05-08 11:56:17.644463,0.266,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.15000000000000002,/GPU:0,0,71070,2022-05-08 12:00:37.324258,0.019,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,1,71070,2022-05-08 12:00:39.798414,0.02,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,2,71070,2022-05-08 12:08:33.534322,0.023,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,3,71070,2022-05-08 11:33:34.490364,0.026,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,4,71070,2022-05-08 12:14:33.012970,0.022,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,0,71070,2022-05-08 11:29:52.663804,0.275,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,1,71070,2022-05-08 11:42:10.288241,0.277,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,2,71070,2022-05-08 11:46:47.034320,0.281,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,3,71070,2022-05-08 12:12:51.908991,0.272,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,4,71070,2022-05-08 12:12:51.628658,0.266,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.2,/GPU:0,0,71070,2022-05-08 11:29:52.644241,0.015,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,1,71070,2022-05-08 11:57:27.708241,0.021,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,2,71070,2022-05-08 11:56:17.614650,0.025,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,3,71070,2022-05-08 12:20:14.500596,0.024,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,4,71070,2022-05-08 11:24:09.843000,0.017,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,0,71070,2022-05-08 11:25:56.128376,0.29,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,1,71070,2022-05-08 11:35:12.864349,0.289,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
