n,p,device,device_model,repetition,random_state,timestamp,computation_time,motifs
500,0.05,/GPU:0,Tesla T4,0,71070,2022-05-29 19:39:50.243962,0.048,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,Tesla T4,1,71070,2022-05-29 19:43:37.884065,0.051,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,Tesla T4,2,71070,2022-05-29 20:03:49.072928,0.05,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,Tesla T4,3,71070,2022-05-29 20:25:49.869684,0.049,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/GPU:0,Tesla T4,4,71070,2022-05-29 19:51:01.856163,0.051,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,,0,71070,2022-05-29 20:09:51.642042,0.238,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,,1,71070,2022-05-29 20:27:29.811287,0.221,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,,2,71070,2022-05-29 20:36:14.946322,0.221,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,,3,71070,2022-05-29 20:45:41.620526,0.216,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.05,/CPU:0,,4,71070,2022-05-29 19:50:53.833945,0.221,"[15207804  4818168   126809   254497   127365   126958    13688    13286
    13566     4549      364      687      347      374       37        1]"
500,0.1,/GPU:0,Tesla T4,0,71070,2022-05-29 20:42:09.402632,0.049,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,Tesla T4,1,71070,2022-05-29 19:37:02.266796,0.122,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,Tesla T4,2,71070,2022-05-29 19:43:34.396831,0.122,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,Tesla T4,3,71070,2022-05-29 20:28:53.232787,0.123,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/GPU:0,Tesla T4,4,71070,2022-05-29 19:59:27.514201,0.057,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,,0,71070,2022-05-29 19:59:27.214072,0.293,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,,1,71070,2022-05-29 20:07:40.259530,0.221,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,,2,71070,2022-05-29 20:34:32.367033,0.231,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,,3,71070,2022-05-29 20:41:44.410810,0.261,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.1,/CPU:0,,4,71070,2022-05-29 19:44:36.964101,0.237,"[11032953  7325517   404425   811036   405300   404995    89201    89363
    89866    29981     4931     9989     4969     4910     1048       16]"
500,0.15000000000000002,/GPU:0,Tesla T4,0,71070,2022-05-29 20:25:44.367235,0.124,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,Tesla T4,1,71070,2022-05-29 20:28:27.678198,0.122,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,Tesla T4,2,71070,2022-05-29 20:33:24.500219,0.122,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,Tesla T4,3,71070,2022-05-29 19:35:05.059839,0.125,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/GPU:0,Tesla T4,4,71070,2022-05-29 20:34:23.951852,0.048,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,,0,71070,2022-05-29 20:04:55.763574,0.219,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,,1,71070,2022-05-29 19:43:06.549113,0.222,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,,2,71070,2022-05-29 20:16:30.247746,0.223,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,,3,71070,2022-05-29 19:49:33.729466,0.235,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.15000000000000002,/CPU:0,,4,71070,2022-05-29 19:43:02.852181,0.225,"[7842396 8253686  740302 1445713  723352  722952  253236  259130  260210
   84402   23457   45916   22730   22681    8076     261]"
500,0.2,/GPU:0,Tesla T4,0,71070,2022-05-29 20:09:56.129060,0.05,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,1,71070,2022-05-29 20:31:04.855306,0.122,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,2,71070,2022-05-29 20:30:55.208973,0.05,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,3,71070,2022-05-29 19:54:37.947473,0.049,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/GPU:0,Tesla T4,4,71070,2022-05-29 19:42:06.190268,0.124,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,0,71070,2022-05-29 19:50:54.064607,0.214,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,1,71070,2022-05-29 20:13:17.637556,0.219,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,2,71070,2022-05-29 20:04:39.182605,0.226,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,3,71070,2022-05-29 20:42:59.931452,0.22,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.2,/CPU:0,,4,71070,2022-05-29 20:22:07.693123,0.223,"[5447433 8132356 1031546 2023563 1011703 1011109  503098  512458  513352
  167427   64844  127751   64442   63548   32483    1387]"
500,0.25,/GPU:0,Tesla T4,0,71070,2022-05-29 20:10:43.394411,0.124,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,1,71070,2022-05-29 20:10:51.010328,0.047,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,2,71070,2022-05-29 20:32:56.852150,0.049,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,3,71070,2022-05-29 20:21:30.407855,0.048,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/GPU:0,Tesla T4,4,71070,2022-05-29 20:39:50.094202,0.124,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,0,71070,2022-05-29 19:56:16.982243,0.251,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,1,71070,2022-05-29 20:28:27.417772,0.249,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,2,71070,2022-05-29 19:48:51.582834,0.218,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,3,71070,2022-05-29 20:24:01.831124,0.227,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.25,/CPU:0,,4,71070,2022-05-29 19:50:54.286611,0.231,"[3725489 7385976 1237126 2439394 1220954 1219892  805031  816411  818219
  268413  136101  269517  135578  135028   90276    5095]"
500,0.30000000000000004,/GPU:0,Tesla T4,0,71070,2022-05-29 20:22:06.925351,0.049,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,1,71070,2022-05-29 19:34:23.402167,0.123,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,2,71070,2022-05-29 20:04:02.363549,0.122,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,3,71070,2022-05-29 19:55:30.264571,0.049,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/GPU:0,Tesla T4,4,71070,2022-05-29 20:07:55.013260,0.049,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,0,71070,2022-05-29 20:32:36.488618,0.223,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,1,71070,2022-05-29 20:19:48.494015,0.229,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,2,71070,2022-05-29 20:42:44.928293,0.215,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,3,71070,2022-05-29 20:10:25.825496,0.219,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.30000000000000004,/CPU:0,,4,71070,2022-05-29 20:33:42.492361,0.225,"[2467145 6289637 1351136 2671068 1336804 1336300 1134829 1146799 1150930
  379281  245844  487487  243976  242929  209354   14981]"
500,0.35000000000000003,/GPU:0,Tesla T4,0,71070,2022-05-29 19:51:01.911978,0.047,"[1595853 5081014 1381747 2694087 1349907 1346828 1428893 1468559 1468136
  477513  398222  778468  389372  388707  422667   38527]"
