n,p,device,repetition,random_state,timestamp,algorithm,computation_time,motifs,processor
500,0.05,GPU,0,71070,2025-08-21 14:24:20.597082,gpu,0.003,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Tesla T4
500,0.05,GPU,1,71070,2025-08-21 14:27:34.132957,gpu,0.006,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Tesla T4
500,0.05,GPU,2,71070,2025-08-21 14:31:18.884143,gpu,0.006,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Tesla T4
500,0.05,GPU,3,71070,2025-08-21 14:34:27.582954,gpu,0.007,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Tesla T4
500,0.05,GPU,4,71070,2025-08-21 14:32:34.409577,gpu,0.006,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Tesla T4
500,0.05,CPU,0,71070,2025-08-21 14:22:42.074334,matmul,0.064,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.05,CPU,1,71070,2025-08-21 14:24:08.234277,matmul,0.063,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.05,CPU,2,71070,2025-08-21 14:24:51.558376,matmul,0.063,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.05,CPU,3,71070,2025-08-21 14:17:51.049877,matmul,0.069,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.05,CPU,4,71070,2025-08-21 14:22:15.009279,matmul,0.067,[15207804  4818168   126809   254497   127365   126958    13688    13286    13566     4549      364      687      347      374       37        1],Intel(R) Xeon(R) CPU @ 2.00GHz
500,0.1,GPU,0,71070,2025-08-21 14:27:25.480736,gpu,0.005,[11032954  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Tesla T4
500,0.1,GPU,1,71070,2025-08-21 14:24:06.528222,gpu,0.004,[11032954  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Tesla T4
500,0.1,GPU,2,71070,2025-08-21 14:24:06.516327,gpu,0.004,[11032954  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Tesla T4
500,0.1,GPU,3,71070,2025-08-21 14:26:23.770507,gpu,0.005,[11032954  7325517   404425   811036   405300   404995    89201    89363    89866    29981     4931     9989     4969     4910     1048       16],Tesla T4
